antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Milk'}),frozenset({'Cereal'}),0.16266666666666665,0.23273333333333332,0.09506666666666666,0.5844262295081968,2.5111410606195794,1.0,0.05720871111111111,1.8462827087442475,0.7186799296057744,0.31653718091009986,0.45837113933642815,0.49645258768449085
frozenset({'Cereal'}),frozenset({'Milk'}),0.23273333333333332,0.16266666666666665,0.09506666666666666,0.40847894586078487,2.5111410606195794,1.0,0.05720871111111111,1.4155596448748993,0.7843096633807044,0.31653718091009986,0.2935656200566698,0.49645258768449085
frozenset({'Chocolate'}),frozenset({'Cereal'}),0.1608,0.23273333333333332,0.038933333333333334,0.24212271973466004,1.0403439690690062,1.0,0.0015098133333333388,1.0123890590809628,0.046210023897515086,0.10979507426207935,0.012237448607168374,0.2047050149804781
frozenset({'Cucumber'}),frozenset({'Cereal'}),0.15993333333333334,0.23273333333333332,0.0386,0.2413505627344727,1.0370261933592353,1.0,0.0013781822222222254,1.0113586446886447,0.042501630007432956,0.10901901713424969,0.011231074899390967,0.20360280929619654
frozenset({'Cheese'}),frozenset({'Cereal'}),0.16526666666666667,0.23273333333333332,0.039733333333333336,0.24041952400161357,1.0330257404824417,1.0,0.0012702711111111167,1.010118994512303,0.03829954937450067,0.11090435429847414,0.010017626207681266,0.20557212235600586
frozenset({'Butter'}),frozenset({'Cereal'}),0.16203333333333333,0.23273333333333332,0.038733333333333335,0.23904546389631764,1.0271217297177786,1.0,0.0010227755555555565,1.0082950166711724,0.03151147434378456,0.10879131167493682,0.008226775431815525,0.2027367107507942
frozenset({'Soda'}),frozenset({'Cereal'}),0.1658,0.23273333333333332,0.0394,0.23763570566948128,1.021064332581558,1.0,0.0008128133333333357,1.0064304852320676,0.024730016823113172,0.10970855763875997,0.006389398300653348,0.2034640860057518
frozenset({'Onion'}),frozenset({'Cereal'}),0.1624,0.23273333333333332,0.03843333333333333,0.2366584564860427,1.0168653243456434,1.0,0.000637440000000003,1.0051420274267275,0.019801340467250097,0.1077469395383609,0.0051157222426484175,0.20089869257988757
frozenset({'Chips'}),frozenset({'Cereal'}),0.1617,0.23273333333333332,0.038233333333333334,0.23644609358895072,1.0159528512845204,1.0,0.0006003533333333311,1.0048624730021598,0.018731186886401092,0.10733670222721318,0.00483894376872543,0.20036283482082884
frozenset({'Tomato'}),frozenset({'Cereal'}),0.16256666666666666,0.23273333333333332,0.0383,0.23559565306540908,1.0122987098198615,1.0,0.0004653177777777795,1.003744510014306,0.01450776886162211,0.10728291316526611,0.0037305409662991094,0.2000808399958956
frozenset({'Fish'}),frozenset({'Cereal'}),0.1636,0.23273333333333332,0.038533333333333336,0.23553382233088838,1.01203303780101,1.0,0.00045816000000000606,1.0036633262260128,0.014215644904261155,0.10769517421278182,0.003649955249224593,0.20055121365756678
frozenset({'Juice'}),frozenset({'Cereal'}),0.1653,0.23273333333333332,0.0389,0.23532970356926797,1.011155987837015,1.0,0.00042918000000000123,1.003395411392405,0.013217808654988377,0.10831631705958789,0.0033839215864992366,0.2012368941793633
frozenset({'Bread'}),frozenset({'Cereal'}),0.16233333333333333,0.23273333333333332,0.03816666666666667,0.23511293634496921,1.0102245904252474,1.0,0.00038628888888889157,1.0031110514541388,0.012082498518620288,0.10693938544877184,0.003101402830353499,0.1995530307620005
frozenset({'Potato'}),frozenset({'Cereal'}),0.16206666666666666,0.23273333333333332,0.038,0.23447141094199916,1.0074681077427636,1.0,0.00028168444444444385,1.0022704280852588,0.008846465754648357,0.10650224215246637,0.0022652849187581605,0.19887420446842152
frozenset({'Beans'}),frozenset({'Cereal'}),0.16496666666666668,0.23273333333333332,0.03866666666666667,0.23439078601737726,1.0071216815412944,1.0,0.0002734244444444478,1.0021648807952845,0.008468310852757031,0.10769659270262744,0.002160204210675041,0.20026614637448642
frozenset({'Ice Cream'}),frozenset({'Cereal'}),0.16793333333333332,0.23273333333333332,0.039233333333333335,0.23362445414847163,1.0038289350406975,1.0,0.00014964888888889527,1.0011627730294397,0.004584164191253143,0.10854929447569864,0.0011614225586127984,0.20110039665315305
frozenset({'Orange'}),frozenset({'Cereal'}),0.16483333333333333,0.23273333333333332,0.03846666666666667,0.2333670374115268,1.0027228763027507,1.0,0.00010445555555556318,1.0008266068759344,0.0032514257195696977,0.10711965097930012,0.0008259241613435036,0.19932459576104844
frozenset({'Cookie'}),frozenset({'Cereal'}),0.16393333333333332,0.23273333333333332,0.038233333333333334,0.23322488816592113,1.0021120946688105,1.0,8.058222222222938e-05,1.0006410677981084,0.0025209031899347976,0.10666790663070773,0.0006406570934761614,0.19875223210931406
frozenset({'Cracker'}),frozenset({'Cereal'}),0.16236666666666666,0.23273333333333332,0.037866666666666667,0.23321699856292344,1.0020781949137358,1.0,7.85311111111131e-05,1.0006307719767962,0.00247588639801728,0.10599981338061024,0.0006303743543185146,0.19796054740520852
frozenset({'Rice'}),frozenset({'Cereal'}),0.16266666666666665,0.23273333333333332,0.037866666666666667,0.23278688524590166,1.0002300998821327,1.0,8.711111111114889e-06,1.0000698005698005,0.0002747375975600007,0.10591087078127914,6.979569802112162e-05,0.19774549074669762
